sentence1,sentence2,label
 It's understandable that sometimes people make mistakes.,You are under alot of stress,1
 It's understandable that sometimes people make mistakes.,They are brain surgeons.,0
 It's understandable that sometimes people make mistakes.,They are working their first day at a new job.,1
 It's understandable that sometimes people make mistakes.,Those mistakes cost lives.,0
 It's understandable that sometimes people make mistakes.,They are training as a new employee.,1
 It's understandable that sometimes people make mistakes.,The mistakes are huge with life changing consequences.,0
 It's understandable that sometimes people make mistakes.,The mistakes have no consequences.,1
 It is okay to be overwhelmed with another person's drug abuse.,that person is someone you're treating for addiction,0
 It is okay to be overwhelmed with another person's drug abuse.,that person is your parent,1
 It is okay to be overwhelmed with another person's drug abuse.,you enable them,0
 It is okay to be overwhelmed with another person's drug abuse.,it is putting financial stress on you,1
 It is okay to be overwhelmed with another person's drug abuse.,They're doing hard drugs,1
 It is okay to be overwhelmed with another person's drug abuse.,that person is trying to change and needs your help,0
 It is okay to be overwhelmed with another person's drug abuse.,that person doesn't care for your input,1
 It is okay to be overwhelmed with another person's drug abuse.,You are a drug counselor.,0
 It is okay to be overwhelmed with another person's drug abuse.,They are a family member.,1
 It is expected to pay back a debt.,They told you it was on them,0
 It is expected to pay back a debt.,They aren’t that wealthy and need the money back,1
 It is expected to pay back a debt.,You dont have any money,0
 It is expected to pay back a debt.,You do not want to hurt your credit,1
 It is expected to pay back a debt.,You were told you didn't have to pay it back.,0
 It is expected to pay back a debt.,You signed an agreement.,1
 It is expected to pay back a debt.,the debt wasn't yours.,0
 It is expected to pay back a debt.,it's owed to a friend.,1
 It is expected to pay back a debt.,unless you file bankruptcy.,0
 It is expected to pay back a debt.,you want to protect your credit score.,1
 It's good to be on time.,There's inclement weather and you might be risking your life to get there.,0
 It's good to be on time.,You want everyone else to do the same.,1
 It's good to be on time.,You are stuck in traffic and have no way in getting there.,0
 It's good to be on time.,You are look to get a raise from your boss.,1
 It's good to be on time.,The host isn't ready yet.,0
 It's good to be on time.,Other people are counting on you.,1
 It's good to be on time.,You're going to a party.,0
 It's good to be on time.,You want to keep your job.,1
 It's good to be on time.,You enjoy being fashionably late.,0
 It's good to be on time.,You're going to an interview.,1
 It's good to participate in traditional holiday gift giving with strangers.,You are not sure how the gifts are being distributed.,0
 It's good to participate in traditional holiday gift giving with strangers.,You donate toys to a charity that gives the toys to needy and sick children.,1
 It's good to participate in traditional holiday gift giving with strangers.,You do not celebrate the holidays.,0
 It's good to participate in traditional holiday gift giving with strangers.,You work for Toys for Tots.,1
 It's good to participate in traditional holiday gift giving with strangers.,You have no time,0
 It's good to participate in traditional holiday gift giving with strangers.,They don't celebrate gift-giving.,0
 It's good to participate in traditional holiday gift giving with strangers.,They all bought gifts for each other.,1
 It's good to participate in traditional holiday gift giving with strangers.,you can't afford to buy any gifts,0
 It's good to participate in traditional holiday gift giving with strangers.,you signed up to be secret santa,1
 It's fine to be annoyed with a friend who lies.,They're lying for your benefit.,0
 It's fine to be annoyed with a friend who lies.,They keep doing when when you ask them not to.,1
 It's fine to be annoyed with a friend who lies.,Your own lies caused them to lie.,0
 It's fine to be annoyed with a friend who lies.,They had no real reason to lie about the subject.,1
 It's fine to be annoyed with a friend who lies.,That friend tells harmless white lies to spare your feelings.,0
 It's fine to be annoyed with a friend who lies.,That friend lied about something really important to you.,1
 It's fine to be annoyed with a friend who lies.,The friend causes a lot of drama,1
 It's fine to be annoyed with a friend who lies.,They were hiding a surprise party from you.,0
 It's fine to be annoyed with a friend who lies.,They lied to your face.,1
 You should not be greedy.,it doesn't impact anyone else.,0
 You should not be greedy.,you would be depriving another person of something they need.,1
 You should not be greedy.,you are a game show contestant.,0
 You should not be greedy.,you are at a fancy party.,1
 You should not be greedy.,Your family is on the edge of starvation and you need every penny to survive.,0
 You should not be greedy.,You're already extremely wealthy.,1
 You should not be greedy.,You are playing monopoly.,0
 You should not be greedy.,It would hurt other people.,1
 You should not be greedy.,You lack empathy for others.,0
 You should not be greedy.,You already have what you need.,1
 It is evil to lie and cheat on someone.,They feel no remorse for their actions.,1
 It is evil to lie and cheat on someone.,Your partner is super wonderful,1
 It is evil to lie and cheat on someone.,They are been kind and sweet to you.,1
 It is evil to lie and cheat on someone.,They are blackmailing you into staying in the relationship.,0
 It is evil to lie and cheat on someone.,You promised to be faithful.,1
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",It was valuable,1
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",It is very valuable,1
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",The item was already falling apart and would've been wrecked soon anyway by anyone.,0
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",It was in  good condition when you got it and was due to your negligence.,1
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",They pushed you and you landed on it.,0
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",It was given to them by their dead aunt.,1
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",You've taken apart a Lego set.,0
" If you wreck something valuable that belongs to someone else, the right thing to do is replace it.",It is a family heirloom.,1
 It's accepted that passwords should be secret.,you keep track of your child's passwords.,0
 It's accepted that passwords should be secret.,you work for the government.,1
 It's accepted that passwords should be secret.,Your spouse needs to access your account to pay your bill.,0
 It's accepted that passwords should be secret.,Those passwords safeguard sensitive information.,1
 It's accepted that passwords should be secret.,You need to share a Netflix account,0
 It's accepted that passwords should be secret.,You are on a work computer,1
 It's accepted that passwords should be secret.,It is a public device,0
 It's accepted that passwords should be secret.,You have confidential information on the device,1
 It's accepted that passwords should be secret.,you have a team password.,0
 It's accepted that passwords should be secret.,you access your banking info online.,1
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,It'll kill them if they don't quit now.,0
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,They've had it for a very long time.,1
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,They are addicted to Fentanyl,1
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,They have gone to therapy and just do not want to stop.,0
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,The person is only on their first day of therapy for their addiction.,1
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,they are getting themselves more ill by not giving it up,0
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,they would get ill if they stopped,1
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,They refuse to at least try.,0
 It's inconsiderate to be impatient for someone with an addiction to give it up suddenly.,They go through withdrawals.,1
 It is okay to be uncomfortable with a partners past relationship.,Their past partner is deceased.,0
 It is okay to be uncomfortable with a partners past relationship.,They have committed themselves to you.,1
 It is okay to be uncomfortable with a partners past relationship.,The relationship is decades old.,0
 It is okay to be uncomfortable with a partners past relationship.,The relationship is recent.,1
 It is okay to be uncomfortable with a partners past relationship.,they are now part of the family.,0
 It is okay to be uncomfortable with a partners past relationship.,each still has feelings for the other.,1
 It is okay to be uncomfortable with a partners past relationship.,Your partner's ex is dead.,0
 It is okay to be uncomfortable with a partners past relationship.,Your partner still talks to their ex.,1
 It is okay to be uncomfortable with a partners past relationship.,You are letting it interfere with your current relationship.,0
 It is okay to be uncomfortable with a partners past relationship.,His past relationship is with your friend.,1
 It's good to get along with people who have different religious beliefs than you do.,the people with those religious beliefs are intolerant resulting in fear and/or hatred towards others that don't believe as they do.,0
 It's good to get along with people who have different religious beliefs than you do.,we want to live in a society that is tolerant and harmonious.,1
 It's good to get along with people who have different religious beliefs than you do.,They are persecuting you.,0
 It's good to get along with people who have different religious beliefs than you do.,You are running for president.,1
 It's good to get along with people who have different religious beliefs than you do.,Their religious beliefs include hate for certain groups of people.,0
 It's good to get along with people who have different religious beliefs than you do.,You have to work together.,1
 It's good to get along with people who have different religious beliefs than you do.,You think your religion will be weakened.,0
 It's good to get along with people who have different religious beliefs than you do.,You get a new perspective which strengthens your own religion.,1
 It's good to get along with people who have different religious beliefs than you do.,they force their beliefs on you.,0
 It's good to get along with people who have different religious beliefs than you do.,you want to understand their viewpoint.,1
 It's okay not to want to be with your partner every single day.,You are ignoring them on purpose.,0
 It's okay not to want to be with your partner every single day.,You both have very busy lives.,1
 It's okay not to want to be with your partner every single day.,you work together every day.,0
 It's okay not to want to be with your partner every single day.,you like personal time.,1
 It's okay not to want to be with your partner every single day.,You are married and live together,0
 It's okay not to want to be with your partner every single day.,You both want space one in a while,1
 It's okay not to want to be with your partner every single day.,You just came back from overseas,0
 It's okay not to want to be with your partner every single day.,You are getting annoyed with them,1
 It's okay not to want to be with your partner every single day.,You are your sick partner's caretaker,1
 It's fine to tell your significant other that a friend of theirs has a bad quality.,You have the same bad quality.,0
 It's fine to tell your significant other that a friend of theirs has a bad quality.,That quality is going to risk the safety of your significant other.,1
 It's fine to tell your significant other that a friend of theirs has a bad quality.,The significant other has the same quality.,0
 It's fine to tell your significant other that a friend of theirs has a bad quality.,The friend has been telling lies about the sigificant other.,1
 It's fine to tell your significant other that a friend of theirs has a bad quality.,"the person is otherwise very nice, and you keep focusing on the one bad thing.",0
 It's fine to tell your significant other that a friend of theirs has a bad quality.,you do not want that person to be around your children.,1
 It's fine to tell your significant other that a friend of theirs has a bad quality.,Their friend just successfully completed a rehab program.,0
 It's fine to tell your significant other that a friend of theirs has a bad quality.,It involves their friend not taking regular baths.,1
 It's fine to tell your significant other that a friend of theirs has a bad quality.,You are trying to end their friendship.,0
 It's fine to tell your significant other that a friend of theirs has a bad quality.,The quality has hurt you.,1
 You should support your partner.,They are being racist.,0
 You should support your partner.,They are depressed.,1
 You should support your partner.,They have done something illegal.,0
 You should support your partner.,They are going through a rough time.,1
 You should support your partner.,Your partner is abusive towards you.,0
 You should support your partner.,Your partner is having trouble with job and home.,1
 You should support your partner.,They want to break up with you.,0
 You should support your partner.,They're going through a difficult time.,1
 You should support your partner.,Your partner has committed a serious crime.,0
 You should support your partner.,You are married.,1
 Its ok to not have your heart in your job but dont let it affect your work.,You dont understand the task,0
 Its ok to not have your heart in your job but dont let it affect your work.,You still need the job to make money,1
 Its ok to not have your heart in your job but dont let it affect your work.,You see an opportunity to apply for your dream job.,0
 Its ok to not have your heart in your job but dont let it affect your work.,You need a paycheck to keep a roof over your head.,1
 Its ok to not have your heart in your job but dont let it affect your work.,You are a social worker.,0
 Its ok to not have your heart in your job but dont let it affect your work.,You work in data entry and are bored all day.,1
 Its ok to not have your heart in your job but dont let it affect your work.,You are depressed and are sending out help signals.,0
 Its ok to not have your heart in your job but dont let it affect your work.,Other employees are counting on you.,1
 Its ok to not have your heart in your job but dont let it affect your work.,You perform as well as anyone else,1
 You should check with your roommate before inviting over friends.,Your roommate is gone for the weekend.,0
 You should check with your roommate before inviting over friends.,Your roommate is home.,1
 You should check with your roommate before inviting over friends.,your roommate is out of town.,0
 You should check with your roommate before inviting over friends.,your roommate is studying for a test.,1
 You should check with your roommate before inviting over friends.,Your roommate is going out for the night.,0
 You should check with your roommate before inviting over friends.,They have a big exam to study for.,1
 You should check with your roommate before inviting over friends.,Your roommate is out of town.,0
 You should check with your roommate before inviting over friends.,Your roommate is studying for a big test.,1
 You should check with your roommate before inviting over friends.,You are having a party with your roommate.,0
 You should check with your roommate before inviting over friends.,Your roommate is studying for exams and needs peace and quiet.,1
 It's good to bring up injustice when needed.,You're not well educated in injustice.,0
 It's good to bring up injustice when needed.,You've got a degree in social justice.,1
 It's good to bring up injustice when needed.,You are trying to promote the injustice.,0
 It's good to bring up injustice when needed.,You're trying to rectify the injustice.,1
 It's good to bring up injustice when needed.,You are being held hostage.,0
 It's good to bring up injustice when needed.,You are able to help with critical information.,1
 It's good to bring up injustice when needed.,You are standing up to a crowd all alone and fear retaliation,0
 It's good to bring up injustice when needed.,You know you are doing the right thing by disagreeing with the bigot at work.,1
 It's good to bring up injustice when needed.,It involves getting back at criminals.,0
 It's good to bring up injustice when needed.,Offends someone in a sexual or racist manner.,1
 You shouldn't make fun of someone's child.,The child is an adult.,0
 You shouldn't make fun of someone's child.,The child is a toddler.,1
 You shouldn't make fun of someone's child.,they just got a pie thrown in to their face,0
 You shouldn't make fun of someone's child.,they have a pretty low self esteem,1
 You shouldn't make fun of someone's child.,They are in a costume for Halloween.,0
 You shouldn't make fun of someone's child.,They are trying their best.,1
 You shouldn't make fun of someone's child.,You are a birthday clown.,0
 You shouldn't make fun of someone's child.,They are missing a limb.,1
 You shouldn't make fun of someone's child.,the parent/child asked you to make a joke about them,0
 You shouldn't make fun of someone's child.,their feelings get hurt easily,1
 It's acceptable to help those that need help the most,Helping them would put you in the same situation.,0
 It's acceptable to help those that need help the most,You are capable of giving the help.,1
 It's acceptable to help those that need help the most,they are lying about their time of need.,0
 It's acceptable to help those that need help the most,they are homeless and have children.,1
 It's acceptable to help those that need help the most,You need help more.,0
 It's acceptable to help those that need help the most,You have an abundance of wealth.,1
 It's acceptable to help those that need help the most,They are scamming people for money.,0
 It's acceptable to help those that need help the most,They are new on the job.,1
 It's acceptable to help those that need help the most,Giving someone else money would leave you unable to pay your bills.,0
 It's acceptable to help those that need help the most,You have the means to help them.,1
 It's good to be there for others.,They are never there for you.,0
 It's good to be there for others.,They are always there for you.,1
 It's good to be there for others.,They want to be left alone.,0
 It's good to be there for others.,It is someone you really care about.,1
 It's good to be there for others.,You give others so much of your energy that it hurts you.,0
 It's good to be there for others.,You're good at balancing self care and helping others.,1
 It's good to be there for others.,They are family.,1
 It's good to be there for others.,They are always there for you in a time of need.,1
 It is important to discuss sex issues.,You're a sex ed teacher,1
 It is important to discuss sex issues.,you are only a kid.,0
 It is important to discuss sex issues.,you are in a relationship.,1
 It is important to discuss sex issues.,You're discussing them with a toddler.,0
 It is important to discuss sex issues.,You're discussing them with your partner.,1
 It is important to discuss sex issues.,You are discussing this with someone who is not mature,0
 It is important to discuss sex issues.,They need to be taught sex education,1
 It is important to discuss sex issues.,You are discussing them with a minor,0
 It is important to discuss sex issues.,You are taking to your spouse,1
" If your sibling is asking for money in exchange for a service, you should pay them.",They had promised you wouldn't have to pay.,0
" If your sibling is asking for money in exchange for a service, you should pay them.",They performed the service through their business.,1
" If your sibling is asking for money in exchange for a service, you should pay them.",You agreed on bartering a trade.,0
" If your sibling is asking for money in exchange for a service, you should pay them.",You can afford it.,1
" If your sibling is asking for money in exchange for a service, you should pay them.",You do not want their provided service.,0
" If your sibling is asking for money in exchange for a service, you should pay them.",You have received the service.,1
" If your sibling is asking for money in exchange for a service, you should pay them.",They did not complete the service.,0
" If your sibling is asking for money in exchange for a service, you should pay them.",They did an excellent job.,1
" If your sibling is asking for money in exchange for a service, you should pay them.",they owe you money.,0
" If your sibling is asking for money in exchange for a service, you should pay them.",they need the money and do the work.,1
 It's rude to not invite people children to events that you invited the person too.,It's not at an appropriate venue for children.,0
 It's rude to not invite people children to events that you invited the person too.,You're inviting other children.,1
 It's rude to not invite people children to events that you invited the person too.,They are abusive to your family.,0
 It's rude to not invite people children to events that you invited the person too.,They are your family members.,1
 It's rude to not invite people children to events that you invited the person too.,The planned activities are not appropriate for children.,0
 It's rude to not invite people children to events that you invited the person too.,You are inviting other people's children.,1
 It's rude to not invite people children to events that you invited the person too.,It is an adults only event.,0
 It's rude to not invite people children to events that you invited the person too.,Other children will be at the event.,1
 It's rude to not invite people children to events that you invited the person too.,You pay for a babysitter,0
 It's rude to not invite people children to events that you invited the person too.,It's a long vacation,1
 You should not back out on your plans.,The other party agrees with you.,0
 You should not back out on your plans.,The other party is depending on you help.,1
 You should not back out on your plans.,You are in bed with a fever.,0
 You should not back out on your plans.,You made a promise to people.,1
 You should not back out on your plans.,You later realize that your plans were ill conceived and need changing.,0
 You should not back out on your plans.,You know they are correct and/or others are relying on your commitment.,1
 You should not back out on your plans.,You have a medical emergency,0
 You should not back out on your plans.,Your friends are counting on you,1
 You should not back out on your plans.,your plans are sure to fail,0
 You should not back out on your plans.,other people are counting on you,1
 It's okay to appreciate other cultures.,They directly conflict with your religious beliefs.,0
 It's okay to appreciate other cultures.,You want to be a well rounded individual.,1
 It's okay to appreciate other cultures.,Rape is part of their culture.,0
 It's okay to appreciate other cultures.,You travel internationally.,1
 It's okay to appreciate other cultures.,You're giving a culture presentation of one type.,0
 It's okay to appreciate other cultures.,You wish to truly understand the larger world around you.,1
 It's okay to appreciate other cultures.,What you appreciate is their history of female genital mutilation.,0
 It's okay to appreciate other cultures.,What you appreciate is their close family ties.,1
 It's okay to appreciate other cultures.,The culture is demeaning to women.,0
 It's okay to appreciate other cultures.,You can learn from other cultures.,1
 You shouldn't try to profit on the talents of others.,"you are hired to make them more money, like a manager",0
 You shouldn't try to profit on the talents of others.,they aren't getting a cut of the profit you make,1
 You shouldn't try to profit on the talents of others.,You are a manager of show business people as your employment.,0
 You shouldn't try to profit on the talents of others.,You don't have their best interests at heart.,1
 You shouldn't try to profit on the talents of others.,they work at a company you own.,0
 You shouldn't try to profit on the talents of others.,you are taking advantage of them.,1
 You shouldn't try to profit on the talents of others.,You share the profits with the person who is performing.,0
 You shouldn't try to profit on the talents of others.,You don't share any profits with the performer,1
 You shouldn't try to profit on the talents of others.,You are poor and need to feed your kids.,0
 You shouldn't try to profit on the talents of others.,The person is poor and needs the money.,1
 It is okay to network.,your contacts are unsavory characters.,0
 It is okay to network.,you want to work your way up the ladder.,1
 It is okay to network.,You are working on a solitary project that must accomplished alone.,0
 It is okay to network.,"You can  get in touch with good, helpful people who can help you in your goals.",1
 It is okay to network.,Unless you are undermining your employer.,0
 It is okay to network.,Especially if you are looking for another job.,1
 It is okay to network.,You're trying to make friends with gang members.,0
 It is okay to network.,You're trying to network with people in your field.,1
 It is okay to network.,you are supposed to be spending time alone.,0
 It is okay to network.,you are looking for a new job.,1
 It's rude to treat a customer badly.,they are racist.,0
 It's rude to treat a customer badly.,they bring a lot of business.,1
 It's rude to treat a customer badly.,The customer is the reason you're getting a huge commission,1
 It's rude to treat a customer badly.,The customer has been rude to another customer.,0
 It's rude to treat a customer badly.,The customer is a small child.,1
 It's rude to treat a customer badly.,the customer treats you badly.,0
 It's rude to treat a customer badly.,the customer is polite and you are just having a bad day.,1
 It's rude to treat a customer badly.,The customer has been treating you badly first.,0
 It's rude to treat a customer badly.,You are in a grumpy mood and taking it out on your customers.,1
 It can be painful when someone doesn't want you to come to their party.,You do not like the person anyway.,0
 It can be painful when someone doesn't want you to come to their party.,They are a close friend.,1
 It can be painful when someone doesn't want you to come to their party.,You realize that the majority of the people that will be at the party are people you don't get along with.,0
 It can be painful when someone doesn't want you to come to their party.,You are the only person in your group that wasn't invited,1
 It can be painful when someone doesn't want you to come to their party.,You are their enemy.,0
 It can be painful when someone doesn't want you to come to their party.,You do not know why they don't want you there.,1
 It can be painful when someone doesn't want you to come to their party.,Your ex is going to be there.,0
 It can be painful when someone doesn't want you to come to their party.,They are your own family members.,1
 It can be painful when someone doesn't want you to come to their party.,You can't stand them.,0
 It can be painful when someone doesn't want you to come to their party.,You are their best friend.,1
 It's wrong to invite someone to live with you without asking the other people you live with.,You are all longtime friends.,0
 It's wrong to invite someone to live with you without asking the other people you live with.,They will not be paying bills.,1
 It's wrong to invite someone to live with you without asking the other people you live with.,You are the one that owns the house and have friends as roommates.,0
 It's wrong to invite someone to live with you without asking the other people you live with.,You live with your spouse and kids and invite your friend to live there.,1
 It's wrong to invite someone to live with you without asking the other people you live with.,you are the only person paying rent,0
 It's wrong to invite someone to live with you without asking the other people you live with.,you all pay the same rent,1
 It's wrong to invite someone to live with you without asking the other people you live with.,Those people are moving out.,0
 It's wrong to invite someone to live with you without asking the other people you live with.,You have only a few beds.,1
 It's wrong to invite someone to live with you without asking the other people you live with.,The other person you live with just rents a room from you in your house.,0
 It's wrong to invite someone to live with you without asking the other people you live with.,You don't pay the bills.,1
 It's okay to want to live alone.,You are a child.,0
 It's okay to want to live alone.,You've just moved out of your parent's home.,1
 It's okay to want to live alone.,You have children who depend on you.,0
 It's okay to want to live alone.,You are a misanthrope.,1
 It's okay to want to live alone.,You have trouble walking.,0
 It's okay to want to live alone.,You are an author of fantasy novels.,1
 It's okay to want to live alone.,you're married,0
 It's okay to want to live alone.,you can afford to do so.,1
 It's okay to want to live alone.,You require 24 hour medical care.,0
 It's okay to want to live alone.,You have never lived by yourself before.,1
 It is acceptable to be upset when a friend does something to belittle you,Your friend did it in front of your crush,1
 It is acceptable to be upset when a friend does something to belittle you,They did it to humble you into being a better person.,0
 It is acceptable to be upset when a friend does something to belittle you,It is in front of other friends.,1
 It is acceptable to be upset when a friend does something to belittle you,It was a response to you belittling them first.,0
 It is acceptable to be upset when a friend does something to belittle you,You are nothing but kind to them.,1
 It is acceptable to be upset when a friend does something to belittle you,You have betrayed them and are worthy of belittling.,0
 It is acceptable to be upset when a friend does something to belittle you,You have been loyal to them and have acted decently.,1
 It is acceptable to be upset when a friend does something to belittle you,You know they didn't really mean it.,0
 It is acceptable to be upset when a friend does something to belittle you,You have talked to them about this behavior before.,1
 It's wrong to be intimate with another person's partner.,You're supposed to be friends with that person.,1
 It's wrong to be intimate with another person's partner.,the person has an open relationship.,0
 It's wrong to be intimate with another person's partner.,they person is married.,1
 It's wrong to be intimate with another person's partner.,the three of you are poly and everyone knows and has consented.,0
 It's wrong to be intimate with another person's partner.,the partner is your partner's best friend.,1
 It's wrong to be intimate with another person's partner.,Those people are swingers.,0
 It's wrong to be intimate with another person's partner.,That person doesn't know you're sleeping with their partner.,1
 It's wrong to be intimate with another person's partner.,Your close friends with them.,1
 It is rude to make someone else carry something for you,The person is your butler.,0
 It is rude to make someone else carry something for you,The person is your friend.,1
 It is rude to make someone else carry something for you,You ask nicely,0
 It is rude to make someone else carry something for you,The item is very heavy,1
 It is rude to make someone else carry something for you,You are injured and unable to carry it yourself.,0
 It is rude to make someone else carry something for you,You are perfectly capable of carrying it yourself.,1
 It is rude to make someone else carry something for you,It is in their job description.,0
 It is rude to make someone else carry something for you,They are already carrying something.,1
 It is rude to make someone else carry something for you,Your hands are already full.,0
 It is rude to make someone else carry something for you,Their hands are already full.,1
 It is okay to look after the safety of your own children.,That causes you to punch someone else's child for insulting yours.,0
 It is okay to look after the safety of your own children.,That means you take them to all their recommended doctor's checkups.,1
 It is okay to look after the safety of your own children.,You are in a different country and have to leave them in the care of someone else,0
 It is okay to look after the safety of your own children.,You love them and want them to live,1
 It is okay to look after the safety of your own children.,You gave them up in a closed adoption.,0
 It is okay to look after the safety of your own children.,They live in the same house as you.,1
 It is okay to look after the safety of your own children.,Child protective services took them away from you.,0
 It is okay to look after the safety of your own children.,They have weak immune systems.,1
 It is okay to look after the safety of your own children.,You gave them up for adoption as infants.,0
 It is okay to look after the safety of your own children.,You have legal custody of the children.,1
 It's good to get up early.,You have the flu.,0
 It's good to get up early.,You have to get to work early that day.,1
 It's good to get up early.,You work at night.,0
 It's good to get up early.,You have to catch the bus.,1
 It's good to get up early.,It is the weekend,0
 It's good to get up early.,You need to go to school,1
 It's good to get up early.,it is the weekend.,0
 It's good to get up early.,you have a meeting to get to.,1
 It's good to get up early.,You worked all night,0
 It's good to get up early.,You have a lot of work to done,1
 People are expected to be self sufficient.,They are in college and unemployed.,0
 People are expected to be self sufficient.,They are employed adults and living on their own.,1
 People are expected to be self sufficient.,They have a disability that limits them from doing some things.,0
 People are expected to be self sufficient.,They are adults with well-paying jobs.,1
 People are expected to be self sufficient.,They are new to their job.,0
 People are expected to be self sufficient.,They have been given directions.,1
 People are expected to be self sufficient.,They have a disability that affects their life significantly.,0
 People are expected to be self sufficient.,They're living on their own.,1
 People are expected to be self sufficient.,They are disabled.,0
 People are expected to be self sufficient.,They are an able adult.,1
 It is okay to not speak to strangers.,you need to ask for directions.,0
 It is okay to not speak to strangers.,you're in a hurry.,1
 It is okay to not speak to strangers.,they are asking you for directions,0
 It is okay to not speak to strangers.,they seem like dangerous people,1
 It is okay to not speak to strangers.,Someone is asking you for directions or help and is in need and seems harmless.,0
 It is okay to not speak to strangers.,They look like they could hurt you or are acting belligerent.,1
 It is okay to not speak to strangers.,doing so is part of your job.,0
 It is okay to not speak to strangers.,it makes you uncomfortable.,1
 It is okay to not speak to strangers.,You're supposed to be handing out fl iers.,0
 It is okay to not speak to strangers.,You're on a subway.,1
 It's wrong to charge money for an unfinished product.,You are putting out a beta for a video game test,0
 It's wrong to charge money for an unfinished product.,The game already costs $60,1
 It's wrong to charge money for an unfinished product.,You agreed to payment up front.,0
 It's wrong to charge money for an unfinished product.,You agreed to payment upon completion.,1
 It's wrong to charge money for an unfinished product.,The price is on a sliding scale based on condition.,0
 It's wrong to charge money for an unfinished product.,The product is not delivered as agreed upon in the contract.,1
 It's wrong to charge money for an unfinished product.,some of the product is usable.,0
 It's wrong to charge money for an unfinished product.,the client only wanted a finished product.,1
 It's wrong to charge money for an unfinished product.,You require a deposit for expensive pieces.,0
 It's wrong to charge money for an unfinished product.,You don't intend on finishing the project.,1
 It's good to play games sometimes.,you are at church and are supposed to be reverant.,0
 It's good to play games sometimes.,you are in elementary school and need to get the wiggles out.,1
 It's good to play games sometimes.,You are an air traffic controller and you are supposed to be on the job.,0
 It's good to play games sometimes.,You are a child who has been studying too much.,1
 It's good to play games sometimes.,You are playing computer games at work when the boss isn't looking.,0
 It's good to play games sometimes.,You play board games at home with your family.,1
 It's good to play games sometimes.,you are in a rigorous study program with no free time.,0
 It's good to play games sometimes.,games are relaxing and you are stressed.,1
 It's good to play games sometimes.,you are at work and there is a lot to do.,0
 It's good to play games sometimes.,you are on vacation and trying to have fun.,1
 It is understandable to be upset wa friend no longer wants to be friends with you.,You have let them borrow money,0
 It is understandable to be upset wa friend no longer wants to be friends with you.,You were mean to them,1
 It is understandable to be upset wa friend no longer wants to be friends with you.,the person was a bad friend to begin with.,0
 It is understandable to be upset wa friend no longer wants to be friends with you.,you didn't do anything wrong.,1
 It is understandable to be upset wa friend no longer wants to be friends with you.,You caused them great emotional harm,0
 It is understandable to be upset wa friend no longer wants to be friends with you.,You don’t know what you did wrong,1
 It is understandable to be upset wa friend no longer wants to be friends with you.,The reason they no longer want to be friends with you is that you screamed abuse at them in front of all your other friends.,0
 It is understandable to be upset wa friend no longer wants to be friends with you.,You don't have many other friends.,1
 It is understandable to be upset wa friend no longer wants to be friends with you.,there was no reason for them to end your relationship.,0
 It is understandable to be upset wa friend no longer wants to be friends with you.,you started dating her boyfriend when she was still with him.,1
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,You know they won't have anyone else to go with and that makes you sad.,0
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,They could have more fun with another date.,1
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,You are trying to break a curse.,0
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,They have someone else who does really like them.,1
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,you intend to ditch them.,1
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,You don’t want to be single there,0
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,The other person has feelings for you,1
 You shouldn't ask someone to the ball if you have no desire to actually go with them.,You don't even like the person.,1
 It's bad to hold onto grudges for too long.,The person you're holding the grudge against has hurt you several times again.,0
 It's bad to hold onto grudges for too long.,The person you're holding the grudge against has really reformed.,1
 It's bad to hold onto grudges for too long.,someone has murdered your family.,0
 It's bad to hold onto grudges for too long.,someone is truly trying to make amends.,1
 It's bad to hold onto grudges for too long.,You are trying to outlive someone.,0
 It's bad to hold onto grudges for too long.,You have forgotten how it began.,1
 It's bad to hold onto grudges for too long.,You draw strength from the grudge,0
 It's bad to hold onto grudges for too long.,You are getting stressed,1
 It's bad to hold onto grudges for too long.,You lost a loved one because of it.,0
 It's bad to hold onto grudges for too long.,It is bad for your health to hold in feelings.,1
 It is healthy to remove toxic people from your life.,Those people supply you room and board.,0
 It is healthy to remove toxic people from your life.,You're able to support yourself without those people.,1
